,Sample,Allele_frequency,Group
963,NA20276,0.0,Low
964,NA20278,0.019231,Low
965,NA20281,0.004808,Low
966,NA20282,0.014423,Low
967,NA20287,0.038462,Low
968,NA20289,0.052885,Low
969,NA20291,0.052885,Low
970,NA20294,0.057692,Low
971,NA20296,0.033654,Low
972,NA20298,0.057692,Low
973,NA20299,0.043269,Low
974,NA20314,0.009615,Low
975,NA20317,0.043269,Low
976,NA20322,0.052885,Low
977,NA20332,0.028846,Low
978,NA20334,0.0625,Low
979,NA20336,0.009615,Low
980,NA20339,0.043269,Low
981,NA20340,0.028846,Low
982,NA20341,0.067308,Low
983,NA20342,0.057692,Low
984,NA20344,0.057692,Low
985,NA20346,0.067308,Low
986,NA20348,0.004808,Low
987,NA20351,0.048077,Low
988,NA20356,0.043269,Low
989,NA20357,0.052885,Low
990,NA20359,0.048077,Low
991,NA20363,0.052885,Low
992,NA20412,0.024038,Low
993,NA20414,0.0,Low
994,NA20502,0.076923,High
995,NA20503,0.028846,High
996,NA20504,0.043269,High
997,NA20505,0.043269,High
998,NA20506,0.052885,High
999,NA20507,0.072115,High
1000,NA20508,0.038462,High
1001,NA20509,0.014423,High
1002,NA20510,0.076923,High
1003,NA20512,0.057692,High
1004,NA20513,0.033654,High
1005,NA20515,0.004808,High
1006,NA20516,0.019231,High
1007,NA20517,0.043269,High
1008,NA20518,0.009615,High
1009,NA20519,0.038462,High
1010,NA20520,0.043269,High
1011,NA20521,0.024038,High
1012,NA20522,0.048077,High
1013,NA20524,0.048077,High
1014,NA20525,0.038462,High
1015,NA20527,0.038462,High
1016,NA20528,0.057692,High
1017,NA20529,0.067308,High
1018,NA20530,0.004808,High
1019,NA20531,0.076923,High
1020,NA20532,0.052885,High
1021,NA20533,0.048077,High
1022,NA20534,0.043269,High
1023,NA20535,0.038462,High
1024,NA20536,0.038462,High
1025,NA20537,0.043269,High
1026,NA20538,0.048077,High
1027,NA20539,0.048077,High
1028,NA20540,0.024038,High
1029,NA20541,0.067308,High
1030,NA20542,0.072115,High
1031,NA20543,0.043269,High
1032,NA20544,0.033654,High
1033,NA20581,0.048077,High
1034,NA20582,0.038462,High
1035,NA20585,0.038462,High
1036,NA20586,0.038462,High
1037,NA20588,0.067308,High
1038,NA20589,0.048077,High
1039,NA20752,0.067308,High
1040,NA20753,0.038462,High
1041,NA20754,0.038462,High
1042,NA20755,0.052885,High
1043,NA20756,0.038462,High
1044,NA20757,0.038462,High
1045,NA20758,0.033654,High
1046,NA20759,0.048077,High
1047,NA20760,0.043269,High
1048,NA20761,0.014423,High
1049,NA20765,0.072115,High
1050,NA20766,0.043269,High
1051,NA20768,0.0625,High
1052,NA20769,0.076923,High
1053,NA20770,0.048077,High
1054,NA20771,0.028846,High
1055,NA20772,0.038462,High
1056,NA20773,0.048077,High
1057,NA20774,0.014423,High
1058,NA20775,0.019231,High
1059,NA20778,0.048077,High
1060,NA20783,0.038462,High
1061,NA20785,0.009615,High
1062,NA20786,0.057692,High
1063,NA20787,0.038462,High
1064,NA20790,0.038462,High
1065,NA20792,0.024038,High
1066,NA20795,0.072115,High
1067,NA20796,0.043269,High
1068,NA20797,0.014423,High
1069,NA20798,0.072115,High
1070,NA20799,0.076923,High
1071,NA20800,0.057692,High
1072,NA20801,0.038462,High
1073,NA20802,0.033654,High
1074,NA20803,0.072115,High
1075,NA20804,0.028846,High
1076,NA20805,0.076923,High
1077,NA20806,0.038462,High
1078,NA20807,0.072115,High
1079,NA20808,0.072115,High
1080,NA20809,0.028846,High
1081,NA20810,0.048077,High
1082,NA20811,0.043269,High
1083,NA20812,0.033654,High
1084,NA20813,0.072115,High
1085,NA20814,0.048077,High
1086,NA20815,0.033654,High
1087,NA20816,0.048077,High
1088,NA20818,0.038462,High
1089,NA20819,0.009615,High
1090,NA20826,0.052885,High
1091,NA20828,0.033654,High
