,Sample,Allele_frequency,Group
172,HG00373,0.072115,High
173,HG00375,0.081731,High
174,HG00376,0.038462,High
175,HG00377,0.0625,High
176,HG00378,0.014423,High
177,HG00381,0.0625,High
178,HG00382,0.067308,High
179,HG00383,0.072115,High
180,HG00384,0.038462,High
181,HG00403,0.0,Low
182,HG00404,0.081731,Low
183,HG00406,0.052885,Low
184,HG00407,0.067308,Low
185,HG00418,0.038462,Low
186,HG00419,0.043269,Low
187,HG00421,0.081731,Low
188,HG00422,0.067308,Low
189,HG00427,0.067308,Low
190,HG00428,0.067308,Low
191,HG00436,0.004808,Low
192,HG00437,0.0625,Low
193,HG00442,0.048077,Low
194,HG00443,0.096154,Low
195,HG00445,0.038462,Low
196,HG00446,0.028846,Low
197,HG00448,0.067308,Low
198,HG00449,0.033654,Low
199,HG00451,0.043269,Low
200,HG00452,0.033654,Low
201,HG00457,0.0,Low
202,HG00458,0.033654,Low
203,HG00463,0.076923,Low
204,HG00464,0.0,Low
205,HG00472,0.072115,Low
206,HG00473,0.067308,Low
207,HG00475,0.009615,Low
208,HG00476,0.081731,Low
209,HG00478,0.048077,Low
210,HG00479,0.0,Low
211,HG00500,0.0625,Low
212,HG00501,0.048077,Low
213,HG00512,0.038462,Low
214,HG00513,0.076923,Low
215,HG00524,0.033654,Low
216,HG00525,0.048077,Low
217,HG00530,0.038462,Low
218,HG00531,0.0,Low
219,HG00533,0.033654,Low
220,HG00534,0.038462,Low
221,HG00536,0.0,Low
222,HG00537,0.0,Low
223,HG00542,0.038462,Low
224,HG00543,0.038462,Low
225,HG00553,0.057692,High
226,HG00554,0.009615,High
227,HG00556,0.0625,Low
228,HG00557,0.067308,Low
229,HG00559,0.0625,Low
230,HG00560,0.048077,Low
231,HG00565,0.033654,Low
232,HG00566,0.033654,Low
233,HG00577,0.0,Low
234,HG00578,0.052885,Low
235,HG00580,0.038462,Low
236,HG00581,0.048077,Low
237,HG00583,0.067308,Low
238,HG00584,0.038462,Low
239,HG00589,0.038462,Low
240,HG00590,0.081731,Low
241,HG00592,0.067308,Low
242,HG00593,0.038462,Low
243,HG00595,0.038462,Low
244,HG00596,0.072115,Low
245,HG00607,0.081731,Low
246,HG00608,0.048077,Low
247,HG00610,0.043269,Low
248,HG00611,0.086538,Low
249,HG00613,0.033654,Low
250,HG00614,0.009615,Low
251,HG00619,0.019231,Low
252,HG00620,0.033654,Low
253,HG00625,0.048077,Low
254,HG00626,0.067308,Low
255,HG00628,0.0625,Low
256,HG00629,0.038462,Low
257,HG00634,0.004808,Low
258,HG00635,0.048077,Low
259,HG00637,0.024038,High
260,HG00638,0.057692,High
261,HG00640,0.038462,High
262,HG00641,0.0625,High
263,HG00650,0.072115,Low
264,HG00651,0.033654,Low
265,HG00653,0.067308,Low
266,HG00654,0.033654,Low
267,HG00656,0.0,Low
268,HG00657,0.052885,Low
269,HG00662,0.014423,Low
270,HG00663,0.043269,Low
271,HG00671,0.043269,Low
272,HG00672,0.033654,Low
273,HG00683,0.033654,Low
274,HG00684,0.038462,Low
275,HG00689,0.038462,Low
276,HG00690,0.038462,Low
277,HG00692,0.038462,Low
278,HG00693,0.048077,Low
279,HG00698,0.0625,Low
280,HG00699,0.009615,Low
281,HG00701,0.033654,Low
282,HG00702,0.009615,Low
283,HG00704,0.0625,Low
284,HG00705,0.033654,Low
285,HG00707,0.076923,Low
286,HG00708,0.033654,Low
287,HG00731,0.028846,High
288,HG00732,0.057692,High
289,HG00734,0.076923,High
290,HG00736,0.072115,High
291,HG00737,0.043269,High
292,HG00740,0.038462,High
293,HG01047,0.028846,High
294,HG01048,0.033654,High
295,HG01051,0.076923,High
296,HG01052,0.0625,High
297,HG01055,0.028846,High
298,HG01060,0.0,High
299,HG01061,0.0625,High
300,HG01066,0.067308,High
301,HG01067,0.033654,High
302,HG01069,0.009615,High
303,HG01070,0.038462,High
304,HG01072,0.014423,High
305,HG01073,0.014423,High
306,HG01075,0.057692,High
307,HG01079,0.028846,High
308,HG01080,0.033654,High
309,HG01082,0.043269,High
310,HG01083,0.004808,High
311,HG01085,0.033654,High
312,HG01095,0.057692,High
313,HG01097,0.014423,High
314,HG01098,0.052885,High
315,HG01101,0.038462,High
316,HG01102,0.004808,High
317,HG01104,0.004808,High
