,Sample,Allele_frequency,Super_population,Group
1076,NA20805,0.092760,EUR,High
1077,NA20806,0.058824,EUR,High
1078,NA20807,0.116139,EUR,High
1079,NA20808,0.091252,EUR,High
1080,NA20809,0.079940,EUR,High
1081,NA20810,0.067873,EUR,High
1082,NA20811,0.081448,EUR,High
1083,NA20812,0.038462,EUR,High
1084,NA20813,0.082202,EUR,High
1085,NA20814,0.079940,EUR,High
1086,NA20815,0.039216,EUR,High
1087,NA20816,0.100302,EUR,High
1088,NA20818,0.079940,EUR,High
1089,NA20819,0.055807,EUR,High
1090,NA20826,0.100302,EUR,High
1091,NA20828,0.098039,EUR,High
